,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,duration_ms,time_signature,key,mode,type
0,0.429,0.453,-7.746,0.0459,0.554,2e-06,0.102,0.155,77.639,4KULAymBBJcPRpk1yO4dOG,227196,4,0.0,1.0,audio_features
1,0.663,0.67,-8.399,0.271,0.0464,8.92e-05,0.205,0.138,136.952,2YSzYUF3jWqb9YP9VXmpjE,260111,4,8.0,1.0,audio_features
2,0.504,0.308,-14.958,0.0321,0.868,0.135,0.158,0.121,113.95,3vkCueOmm7xQDoJ17W1Pm3,137773,4,9.0,1.0,audio_features
3,0.847,0.622,-6.747,0.0903,0.119,0,0.285,0.22,130.001,4rXLjWdF2ZZpXCVTfWcshS,125040,4,1.0,0.0,audio_features
4,0.868,0.538,-8.603,0.174,0.269,3.34e-06,0.0901,0.732,99.968,2IGMVunIBsBLtEQyoI1Mu7,231750,4,5.0,1.0,audio_features
5,0.75,0.733,-3.18,0.0319,0.256,0,0.114,0.844,111.018,3rUGC1vUpkDG9CZFHMur1t,131872,1,6.0,0.0,audio_features
6,0.787,0.621,-5.009,0.068,0.15,0.000402,0.58,0.13,139.056,4MjDJD8cW7iVeWInc2Bdyj,267194,4,4.0,0.0,audio_features
7,0.47,0.64,-7.779,0.32,0.0277,0,0.382,0.248,163.92,7aqfrAY2p9BUSiupwk3svU,247444,4,2.0,1.0,audio_features
8,0.511,0.532,-5.745,0.0578,0.177,0,0.291,0.35,138.005,1kuGVB7EU95pJObxwvfwKS,219724,4,5.0,1.0,audio_features
9,0.927,0.619,-4.441,0.0539,0.0186,0,0.104,0.817,117.995,6wsqVwoiVH2kde4k4KKAFU,211582,4,5.0,0.0,audio_features
10,0.596,0.658,-7.346,0.036,0.0504,0,0.127,0.176,100.012,1Iq8oo9XkmmvCQiGOfORiz,229478,4,0.0,1.0,audio_features
11,0.793,0.512,-9.319,0.0338,0.186,3.81e-05,0.0889,0.0662,109.994,5KD6AEm19QnMbfWpfoOHMl,146437,4,0.0,1.0,audio_features
12,0.627,0.879,-3.446,0.0955,0.00193,6.87e-06,0.0647,0.748,129.979,3IX0yuEVvDbnqUwMBB3ouC,184784,4,9.0,1.0,audio_features
13,0.629,0.413,-13.178,0.055,0.345,7.62e-05,0.0603,0.306,77.983,71BqAINEnezjQfxE4VuJfq,180381,4,7.0,1.0,audio_features
14,0.628,0.523,-8.307,0.0946,0.701,0.00274,0.219,0.416,169.982,5mjYQaktjmjcMKcUIcqz4s,172965,4,11.0,0.0,audio_features
15,0.626,0.547,-8.285,0.0342,0.0656,1.67e-05,0.149,0.192,109.946,4NioO5R9sHEZh4cGzMHyNt,279833,4,4.0,1.0,audio_features
16,0.75,0.674,-6.128,0.097,0.228,8.91e-05,0.122,0.392,123.026,7dJYggqjKo71KI9sLzqCs8,265360,4,8.0,0.0,audio_features
17,0.646,0.736,-7.118,0.0449,0.216,0,0.415,0.873,140.098,7mXuWTczZNxG5EDcjFEuJR,212878,3,5.0,0.0,audio_features
18,0.444,0.0911,-17.665,0.0307,0.959,1.05e-06,0.098,0.142,78.403,6wf7Yu7cxBSPrRlWeSeK0Q,222370,4,0.0,1.0,audio_features
19,0.712,0.603,-5.52,0.0262,0.186,0,0.115,0.67,97.994,1Lo0QY9cvc8sUB2vnIOxDT,265493,4,8.0,1.0,audio_features
20,0.583,0.351,-5.836,0.0306,0.494,0,0.368,0.462,79.014,4pCbJC43j3gSqG6Fen6upD,227467,4,0.0,1.0,audio_features
21,0.557,0.774,-5.275,0.351,0.012,0,0.396,0.397,111.975,67nepsnrcZkowTxMWigSbb,246134,4,7.0,0.0,audio_features
22,0.656,0.757,-5.775,0.0308,0.492,0,0.117,0.429,139.971,0PAcdVzhPO4gq1Iym9ESnK,177388,4,3.0,0.0,audio_features
23,0.699,0.621,-8.739,0.0369,0.198,0,0.104,0.344,118.048,6T0sEnqjmHISIKwFETeeiP,171819,4,0.0,1.0,audio_features
24,0.575,0.824,-4.823,0.038,0.000418,0.0214,0.0901,0.292,94.971,1hjRhYpWyqDpPahmSlUTlc,231000,4,2.0,1.0,audio_features
25,0.911,0.778,-2.248,0.262,0.0887,2.16e-05,0.179,0.345,96.057,7iQXYTyuG13aoeHxGG28Nh,162768,4,5.0,1.0,audio_features
26,0.546,0.846,-5.719,0.181,0.0135,0,0.607,0.74,162.043,2gyxAWHebV7xPYVxqoi86f,211141,4,5.0,1.0,audio_features
27,0.673,0.722,-3.495,0.0755,0.0856,0,0.137,0.519,117.187,5aIVCx5tnk0ntmdiinnYvw,200256,4,3.0,0.0,audio_features
28,0.402,0.514,-7.322,0.0471,0.106,0,0.181,0.2,120.009,3eP13S8D5m2cweMEg3ZDed,251095,4,1.0,0.0,audio_features
29,0.737,0.725,-5.417,0.0641,0.0976,0,0.174,0.755,96.012,45wMBGri1PORPjM9PwFfrS,231833,4,0.0,1.0,audio_features
30,0.678,0.264,-12.384,0.0622,0.753,0,0.302,0.528,121.722,78Du4CMFgnhdlG33gblkiP,187244,4,10.0,1.0,audio_features
31,0.595,0.656,-7.343,0.037,0.041,0,0.122,0.191,99.994,6IG3sQ8s9nfk6TUlVzRhbN,229478,4,0.0,1.0,audio_features
32,0.761,0.607,-4.83,0.0312,0.00961,2.24e-05,0.367,0.674,116.98,1hR8BSuEqPCCZfv93zzzz9,212600,4,7.0,1.0,audio_features
33,0.547,0.885,-5.961,0.0418,0.000512,9.37e-05,0.39,0.192,91.992,045ZeOHPIzhxxsm8bq5kyE,235800,4,0.0,1.0,audio_features
34,0.492,0.675,-5.456,0.0389,0.467,0,0.142,0.478,203.759,7K3BhSpAxZBznislvUMVtn,163855,4,6.0,1.0,audio_features
35,0.517,0.675,-5.382,0.0357,0.459,0,0.151,0.518,203.853,59uQI0PADDKeE6UZDTJEe8,163855,4,6.0,1.0,audio_features
36,0.458,0.535,-4.854,0.0281,0.575,0,0.168,0.216,82.826,1i9lZvlaDdWDPyXEE95aiq,353755,4,5.0,0.0,audio_features
37,0.645,0.729,-4.56,0.0528,0.0377,0,0.384,0.142,146.01,1yeB8MUNeLo9Ek1UEpsyz6,319192,4,2.0,1.0,audio_features
38,0.8,0.501,-9.332,0.034,0.16,7.14e-05,0.0874,0.0831,110.013,5QUIK7ZtziW8kGWo8RqopF,146437,4,0.0,1.0,audio_features
39,0.57,0.67,-6.519,0.0274,0.426,0,0.108,0.593,140.924,0bILU0UiNDmA5Ff6whhb2R,178723,4,1.0,1.0,audio_features
40,0.586,0.72,-5.556,0.035,0.000718,0,0.0949,0.481,97.057,6GXgd1BPD9bUpqw5AntGV5,193289,4,0.0,1.0,audio_features
41,0.847,0.724,-5.41,0.298,0.0869,1.11e-06,0.118,0.396,94.601,3nNmRE0DxHC6ZaKkrpUumS,216328,4,1.0,1.0,audio_features
42,0.671,0.845,-4.93,0.048,0.0207,0,0.329,0.775,110.056,1vYXt7VSjH9JIM5oRRo7vA,176579,4,11.0,0.0,audio_features
43,0.508,0.43,-9.475,0.0335,0.83,0.000441,0.093,0.324,130.09,1odExI7RdWc4BT515LTAwj,212954,4,2.0,0.0,audio_features
44,0.629,0.733,-5.445,0.0419,0.0025,0,0.357,0.362,120.001,3Ua0m0YmEjrMi9XErKcNiR,212241,4,7.0,1.0,audio_features
45,0.732,0.839,-5.007,0.0345,0.265,0,0.602,0.629,119.724,5W4kiM2cUYBJXKRudNyxjW,157478,4,9.0,1.0,audio_features
46,0.593,0.397,-8.309,0.0329,0.684,7.44e-06,0.0982,0.32,76.703,3EvZ03hGAFwGZ2Ebcu86YH,189053,4,6.0,1.0,audio_features
47,0.651,0.855,-5.959,0.0538,0.0068,9.81e-06,0.0759,0.698,121.98,2vPMoMDXxu9uX1igWZmXSG,230178,4,5.0,1.0,audio_features
48,0.771,0.386,-8.917,0.0297,0.276,2.01e-05,0.121,0.239,103.96,2ByBBvpR9b7IynvRmnG7kG,271000,4,4.0,1.0,audio_features
49,0.633,0.551,-8.297,0.0341,0.066,9.94e-06,0.127,0.164,109.95,3CCRVu4F91Qp2mnGjmWBrf,279833,4,4.0,1.0,audio_features
50,0.43,0.692,-4.234,0.0429,0.254,4.17e-06,0.148,0.401,156.261,34sOdxWu9FljH84UXdRwu1,165834,4,6.0,1.0,audio_features
51,0.802,0.832,-4.107,0.0434,0.311,0,0.0815,0.89,124.997,7x9aauaA9cu6tyfpHnqDLo,185427,4,11.0,1.0,audio_features
52,0.569,0.882,-2.777,0.06,0.0316,0,0.142,0.201,148.038,42VsgItocQwOQC3XWZ8JNA,191701,4,3.0,0.0,audio_features
53,0.669,0.851,-6.526,0.0432,0.00357,1.04e-05,0.0676,0.541,118.026,43y1WpBdnEy5TR9aZoSQL9,207650,4,0.0,1.0,audio_features
54,0.602,0.648,-6.905,0.103,0.0104,0,0.217,0.174,170.091,6qAcApH8obo8eqatCKUHd9,199773,4,2.0,1.0,audio_features
55,0.581,0.672,-7.415,0.0739,0.0411,9.35e-05,0.118,0.514,140.061,1K39ty6o1sHwwlZwO6a7wK,220433,4,8.0,1.0,audio_features
56,0.591,0.412,-13.27,0.0863,0.309,0.000199,0.0608,0.328,155.875,0CD7DzeCsuPJygddqlUVYa,180381,4,2.0,1.0,audio_features
57,0.632,0.807,-5.676,0.0738,0.0103,1.27e-05,0.29,0.921,160.055,3pv7Q5v2dpdefwdWIvE7yH,219209,4,7.0,1.0,audio_features
58,0.853,0.824,-3.287,0.103,0.0322,0,0.0859,0.888,108.044,6ehWdR7cGDXnT7aKEASJxE,201812,4,1.0,1.0,audio_features
59,0.619,0.686,-6.369,0.164,0.0385,0,0.307,0.364,169.943,64FzgoLZ3oXu2SriZblHic,211104,4,7.0,1.0,audio_features
60,0.731,0.667,-7.928,0.0815,0.134,0,0.114,0.485,123.042,1xWkeSPhf3bZqHY7Ncz8vp,144390,4,7.0,0.0,audio_features
61,0.754,0.682,-5.789,0.0565,0.00209,9.88e-06,0.0941,0.547,120.027,75W3SngKzTuoQ94uLf3y82,247533,4,5.0,1.0,audio_features
62,0.77,0.58,-8.393,0.247,0.519,0.000127,0.233,0.753,144.072,741UUVE2kuITl0c6zuqqbO,109750,4,0.0,1.0,audio_features
63,0.575,0.803,-5.393,0.0465,0.087,0,0.0971,0.68,160.039,2f0GI2ZLUtbGqFx8t2Gk6A,195700,4,0.0,1.0,audio_features
64,0.462,0.708,-5.971,0.0555,0.00933,1.88e-05,0.198,0.337,183.811,2ve0kuaWUCt4Zx8x4bf1MR,245567,4,3.0,1.0,audio_features
65,0.708,0.737,-4.045,0.0436,0.0739,0.00162,0.0955,0.607,91.986,7ABLbnD53cQK00mhcaOUVG,197920,4,1.0,1.0,audio_features
66,0.537,0.495,-9.416,0.0573,0.609,2.49e-06,0.112,0.492,84.948,4UwqOWDpdeIDVQDuKT6iza,267389,4,9.0,1.0,audio_features
67,0.701,0.625,-8.804,0.036,0.207,0,0.105,0.323,118.036,6M9ppdfFjR1AbpUl3Y8DcV,171819,4,0.0,1.0,audio_features
68,0.667,0.613,-7.147,0.0313,0.121,0,0.113,0.681,112.046,22VHOlVYBqytsrAqV8yXBK,213817,4,8.0,1.0,audio_features
69,0.474,0.511,-8.766,0.0339,0.299,0,0.0673,0.0586,144.022,5QVVjX0ZItqlVpEuVCM9Yg,250100,4,1.0,0.0,audio_features
70,0.808,0.944,-4.863,0.0408,0.183,1.11e-06,0.138,0.937,124.934,6uIIdjYTxxpWOyWuVXrKQO,191467,3,10.0,0.0,audio_features
71,0.822,0.711,-4.943,0.0668,0.179,1.46e-05,0.083,0.934,102.984,3cDyocF0Ibdfs1SFQk5cLZ,199947,4,6.0,1.0,audio_features
72,0.447,0.441,-7.658,0.0456,0.874,4.36e-05,0.188,0.286,122.811,42TtHTxWk782ZBiqyOi2d1,290892,4,0.0,1.0,audio_features
73,0.511,0.822,-4.785,0.0397,0.000421,0.0197,0.0899,0.305,94.868,3Vpk1hfMAQme8VJ0SNRSkd,231000,4,11.0,0.0,audio_features
74,0.545,0.885,-5.968,0.0447,0.000537,5.59e-05,0.385,0.206,92.021,1OcSfkeCg9hRC2sFKB4IMJ,235800,4,0.0,1.0,audio_features
75,0.789,0.763,-6.169,0.199,0.123,2.22e-05,0.132,0.272,140.107,5JYPXqMwYc0zTODQdjMEZN,126857,4,1.0,1.0,audio_features
76,0.733,0.733,-5.376,0.067,0.0885,0,0.168,0.701,96.057,0108kcWLnn2HlH2kedi1gn,231833,4,0.0,1.0,audio_features
77,0.757,0.61,-4.84,0.0327,0.00942,3.66e-05,0.367,0.685,116.998,4WUepByoeqcedHoYhSNHRt,212600,4,7.0,1.0,audio_features
78,0.817,0.44,-8.482,0.0734,0.0603,1.42e-06,0.33,0.544,142.024,7aRCf5cLOFN1U7kvtChY1G,272113,4,10.0,0.0,audio_features
79,0.483,0.408,-9.243,0.0502,0.508,0,0.259,0.105,88.88,3RaCGXCiiMufRPoexXxGkV,310491,3,5.0,0.0,audio_features
80,0.696,0.809,-8.254,0.05,0.252,0.000128,0.248,0.857,132.962,6AQbmUe0Qwf5PZnt4HmTXv,131013,4,5.0,1.0,audio_features
81,0.588,0.721,-5.579,0.0317,0.000656,0,0.131,0.52,96.997,2k0ZEeAqzvYMcx9Qt5aClQ,193289,4,0.0,1.0,audio_features
82,0.812,0.479,-5.678,0.333,0.213,1.21e-06,0.0756,0.559,169.922,2UW7JaomAMuX9pZrjVpHAU,234353,4,2.0,0.0,audio_features
83,0.558,0.648,-7.081,0.055,0.226,7.76e-06,0.0986,0.844,143.876,1haJsMtoBhHfvuM7XWuT3W,187226,3,9.0,0.0,audio_features
84,0.548,0.307,-9.214,0.0781,0.916,0,0.0828,0.317,127.923,3Nl5OkkmS5DaBZvuYofpAt,189386,4,10.0,1.0,audio_features
85,0.604,0.444,-7.695,0.0698,0.409,0,0.0837,0.169,72.129,0HEytGQM3bG1vKxER7IgVK,169467,4,0.0,1.0,audio_features
86,0.67,0.858,-6.528,0.0439,0.00354,1.25e-05,0.0687,0.539,118.009,3FxJDucHWdw6caWTKO5b23,207650,4,0.0,1.0,audio_features
