,artist_name,artist_id,track_name,track_id,popularity,artist_popularity,genres,followers,danceability,energy,loudness,instrumentalness,valence,tempo,is_edm
0,Doja Cat,5cj0lLjcoR7YOSnhnX0Po5,Paint The Town Red,2IGMVunIBsBLtEQyoI1Mu7,100,89,"['dance pop', 'pop']",26574094,0.868,0.538,-8.603,3.34e-06,0.732,99.968,not_edm
1,Zach Bryan,40ZNYROS4zLfyyBSs2PGe2,I Remember Everything (feat. Kacey Musgraves),4KULAymBBJcPRpk1yO4dOG,92,89,"['classic oklahoma country', 'modern country pop']",2262988,0.429,0.453,-7.746,2e-06,0.155,77.639,not_edm
2,Gunna,2hlmm7s2ICUX0LVIhVFlZQ,fukumean,4rXLjWdF2ZZpXCVTfWcshS,95,85,"['atl hip hop', 'melodic rap', 'rap', 'trap']",5981431,0.847,0.622,-6.747,0.0,0.22,130.001,not_edm
3,Olivia Rodrigo,1McMsnEElThX1knmY4oliG,bad idea right?,3IX0yuEVvDbnqUwMBB3ouC,93,91,['pop'],28557065,0.627,0.879,-3.446,6.87e-06,0.748,129.979,not_edm
4,Travis Scott,0Y5tJX1MQlPlqiwlOH1tJY,I KNOW ?,6wsqVwoiVH2kde4k4KKAFU,92,93,"['hip hop', 'rap', 'slap house']",24421243,0.927,0.619,-4.441,0.0,0.817,117.995,not_edm
5,Olivia Rodrigo,1McMsnEElThX1knmY4oliG,vampire,1kuGVB7EU95pJObxwvfwKS,94,91,['pop'],28557065,0.511,0.532,-5.745,0.0,0.35,138.005,not_edm
6,Olivia Rodrigo,1McMsnEElThX1knmY4oliG,get him back!,2gyxAWHebV7xPYVxqoi86f,92,91,['pop'],28557065,0.546,0.846,-5.719,0.0,0.74,162.043,not_edm
7,Billie Eilish,6qqNVTkY8uBg9cP3Jd7DAH,"What Was I Made For? [From The Motion Picture ""Barbie""]",6wf7Yu7cxBSPrRlWeSeK0Q,96,88,"['art pop', 'electropop', 'pop']",87147942,0.444,0.0911,-17.665,1.05e-06,0.142,78.403,not_edm
8,Oliver Anthony Music,6IkfE2JyVoKwBZXvuytKX3,Rich Men North of Richmond,78Du4CMFgnhdlG33gblkiP,88,73,['modern country pop'],657499,0.678,0.264,-12.384,0.0,0.528,121.722,not_edm
9,Luke Combs,718COspgdWOnwOFpJHRZHS,Fast Car,1Lo0QY9cvc8sUB2vnIOxDT,89,83,"['contemporary country', 'country']",9335016,0.712,0.603,-5.52,0.0,0.67,97.994,not_edm
10,Travis Scott,0Y5tJX1MQlPlqiwlOH1tJY,MELTDOWN (feat. Drake),67nepsnrcZkowTxMWigSbb,91,93,"['hip hop', 'rap', 'slap house']",24421243,0.557,0.774,-5.275,0.0,0.397,111.975,not_edm
11,Zach Bryan,40ZNYROS4zLfyyBSs2PGe2,Hey Driver (feat. The War and Treaty),4pCbJC43j3gSqG6Fen6upD,87,89,"['classic oklahoma country', 'modern country pop']",2262988,0.583,0.351,-5.836,0.0,0.462,79.014,not_edm
12,Olivia Rodrigo,1McMsnEElThX1knmY4oliG,all-american bitch,34sOdxWu9FljH84UXdRwu1,90,91,['pop'],28557065,0.43,0.692,-4.234,4.17e-06,0.401,156.261,not_edm
13,Drake,3TVXtAsR1Inumwj472S9r4,Slime You Out (feat. SZA),3RaCGXCiiMufRPoexXxGkV,90,95,"['canadian hip hop', 'canadian pop', 'hip hop', 'pop rap', 'rap']",80505877,0.483,0.408,-9.243,0.0,0.105,88.88,not_edm
14,Peso Pluma,12GqGscKJx3aE4t07u7eVZ,LADY GAGA,7mXuWTczZNxG5EDcjFEuJR,94,93,"['corridos tumbados', 'sad sierreno']",7723690,0.646,0.736,-7.118,0.0,0.873,140.098,not_edm
15,Jung Kook,6HaGTQPmzraVmaVxvz6EUc,Seven (feat. Latto) (Explicit Ver.),7x9aauaA9cu6tyfpHnqDLo,97,86,['k-pop'],10116680,0.802,0.832,-4.107,0.0,0.89,124.997,not_edm
16,Dua Lipa,6M2wZ9GZgrQXHCFfjv46we,Dance The Night - From Barbie The Album,1vYXt7VSjH9JIM5oRRo7vA,95,87,"['dance pop', 'pop', 'uk pop']",41829791,0.671,0.845,-4.93,0.0,0.775,110.056,not_edm
17,Morgan Wallen,4oUHIQIBe0LHzYfvXNW4QM,Last Night,59uQI0PADDKeE6UZDTJEe8,87,87,['contemporary country'],7260552,0.517,0.675,-5.382,0.0,0.518,203.853,not_edm
18,Bailey Zimmerman,3win9vGIxFfBRag9S63wwf,Religiously,0bILU0UiNDmA5Ff6whhb2R,85,74,"['contemporary country', 'modern country pop']",661828,0.57,0.67,-6.519,0.0,0.593,140.924,not_edm
19,Nicki Minaj,0hCNtLu0JehylgoiP8L4Gh,Barbie World (with Aqua) [From Barbie The Album],741UUVE2kuITl0c6zuqqbO,92,86,"['hip pop', 'pop', 'queens hip hop', 'rap']",29781839,0.77,0.58,-8.393,0.000127,0.753,144.072,not_edm
20,Travis Scott,0Y5tJX1MQlPlqiwlOH1tJY,TELEKINESIS (feat. SZA & Future),1i9lZvlaDdWDPyXEE95aiq,90,93,"['hip hop', 'rap', 'slap house']",24421243,0.458,0.535,-4.854,0.0,0.216,82.826,not_edm
21,Zach Bryan,40ZNYROS4zLfyyBSs2PGe2,Tourniquet,3EvZ03hGAFwGZ2Ebcu86YH,85,89,"['classic oklahoma country', 'modern country pop']",2262988,0.593,0.397,-8.309,7.44e-06,0.32,76.703,not_edm
22,Travis Scott,0Y5tJX1MQlPlqiwlOH1tJY,FE!N (feat. Playboi Carti),42VsgItocQwOQC3XWZ8JNA,91,93,"['hip hop', 'rap', 'slap house']",24421243,0.569,0.882,-2.777,0.0,0.201,148.038,not_edm
23,Olivia Rodrigo,1McMsnEElThX1knmY4oliG,the grudge,3Nl5OkkmS5DaBZvuYofpAt,89,91,['pop'],28557065,0.548,0.307,-9.214,0.0,0.317,127.923,not_edm
24,Morgan Wallen,4oUHIQIBe0LHzYfvXNW4QM,Last Night,7K3BhSpAxZBznislvUMVtn,86,87,['contemporary country'],7260552,0.492,0.675,-5.456,0.0,0.478,203.759,not_edm
25,Olivia Rodrigo,1McMsnEElThX1knmY4oliG,making the bed,5CscrLqFBgPfZR8fGtikov,88,91,['pop'],28557065,0.537,0.413,-7.736,0.0,0.226,133.21,not_edm
26,Zach Bryan,40ZNYROS4zLfyyBSs2PGe2,Spotless (feat. The Lumineers),0HEytGQM3bG1vKxER7IgVK,84,89,"['classic oklahoma country', 'modern country pop']",2262988,0.604,0.444,-7.695,0.0,0.169,72.129,not_edm
27,Olivia Rodrigo,1McMsnEElThX1knmY4oliG,lacy,6QT6j7rKt7Vk3IuV2AUO9W,87,91,['pop'],28557065,0.455,0.379,-7.628,0.0,0.413,76.967,not_edm
28,Morgan Wallen,4oUHIQIBe0LHzYfvXNW4QM,Thinkin’ Bout Me,0PAcdVzhPO4gq1Iym9ESnK,84,87,['contemporary country'],7260552,0.656,0.757,-5.775,0.0,0.429,139.971,not_edm
29,Olivia Rodrigo,1McMsnEElThX1knmY4oliG,ballad of a homeschooled girl,5sp71CUt0jXRNqHblPGp7b,87,91,['pop'],28557065,0.385,0.873,-3.331,0.0,0.469,120.393,not_edm
30,Olivia Rodrigo,1McMsnEElThX1knmY4oliG,logical,53dtP2iUMvaF28JZcHnFuU,87,91,['pop'],28557065,0.499,0.246,-8.082,0.0,0.153,81.051,not_edm
31,Zach Bryan,40ZNYROS4zLfyyBSs2PGe2,East Side of Sorrow,00syWkRGIVQvYsg2OwfBUw,83,89,"['classic oklahoma country', 'modern country pop']",2262988,0.408,0.607,-7.463,8.02e-05,0.169,144.136,not_edm
32,David Kushner,33NVpKoXjItPwUJTMZIOiY,Daylight,1odExI7RdWc4BT515LTAwj,94,77,['gen z singer-songwriter'],1353833,0.508,0.43,-9.475,0.000441,0.324,130.09,not_edm
33,Olivia Rodrigo,1McMsnEElThX1knmY4oliG,love is embarrassing,26QLJMK8G0M06sk7h7Fkse,87,91,['pop'],28557065,0.52,0.831,-3.432,0.0,0.677,160.035,not_edm
34,Morgan Wallen,4oUHIQIBe0LHzYfvXNW4QM,You Proof,5W4kiM2cUYBJXKRudNyxjW,84,87,['contemporary country'],7260552,0.732,0.839,-5.007,0.0,0.629,119.724,not_edm
35,Tate McRae,45dkTj5sMRSjrmBSBeiHym,greedy,3rUGC1vUpkDG9CZFHMur1t,92,80,"['alt z', 'pop']",3768321,0.75,0.733,-3.18,0.0,0.844,111.018,not_edm
36,Myke Towers,7iK8PXO48WeuP03g8YR51W,LALA,7ABLbnD53cQK00mhcaOUVG,97,87,"['reggaeton', 'trap latino', 'urbano latino']",12729986,0.708,0.737,-4.045,0.00162,0.607,91.986,not_edm
37,Jimin,1oSPZhvZMIrWW5I41kPkkY,Like Crazy,3Ua0m0YmEjrMi9XErKcNiR,93,82,['k-pop'],6644898,0.629,0.733,-5.445,0.0,0.362,120.001,not_edm
38,Drake,3TVXtAsR1Inumwj472S9r4,Search & Rescue,7aRCf5cLOFN1U7kvtChY1G,85,95,"['canadian hip hop', 'canadian pop', 'hip hop', 'pop rap', 'rap']",80505877,0.817,0.44,-8.482,1.42e-06,0.544,142.024,not_edm
