,artist_name,artist_id,track_name,track_id,popularity,artist_popularity,genres,followers
0,Zach Bryan,40ZNYROS4zLfyyBSs2PGe2,I Remember Everything (feat. Kacey Musgraves),4KULAymBBJcPRpk1yO4dOG,93,86,"['classic oklahoma country', 'modern country pop']",2496766
1,Drake,3TVXtAsR1Inumwj472S9r4,IDGAF (feat. Yeat),2YSzYUF3jWqb9YP9VXmpjE,94,95,"['canadian hip hop', 'canadian pop', 'hip hop', 'pop rap', 'rap']",81476124
2,Mitski,2uYWxilOVlUdk4oV9DvwqK,My Love Mine All Mine,3vkCueOmm7xQDoJ17W1Pm3,97,81,"['brooklyn indie', 'pov: indie']",5590677
3,Gunna,2hlmm7s2ICUX0LVIhVFlZQ,fukumean,4rXLjWdF2ZZpXCVTfWcshS,95,82,"['atl hip hop', 'melodic rap', 'rap', 'trap']",6160788
4,Doja Cat,5cj0lLjcoR7YOSnhnX0Po5,Paint The Town Red,2IGMVunIBsBLtEQyoI1Mu7,98,87,"['dance pop', 'pop']",27104305
5,Tate McRae,45dkTj5sMRSjrmBSBeiHym,greedy,3rUGC1vUpkDG9CZFHMur1t,100,81,"['alt z', 'pop']",3954334
6,Bad Bunny,4q3ewBCX7sLwd24euuV69X,MONACO,4MjDJD8cW7iVeWInc2Bdyj,98,96,"['reggaeton', 'trap latino', 'urbano latino']",76200614
7,Drake,3TVXtAsR1Inumwj472S9r4,First Person Shooter (feat. J. Cole),7aqfrAY2p9BUSiupwk3svU,92,95,"['canadian hip hop', 'canadian pop', 'hip hop', 'pop rap', 'rap']",81476124
8,Olivia Rodrigo,1McMsnEElThX1knmY4oliG,vampire,1kuGVB7EU95pJObxwvfwKS,95,87,['pop'],29609037
9,Travis Scott,0Y5tJX1MQlPlqiwlOH1tJY,I KNOW ?,6wsqVwoiVH2kde4k4KKAFU,92,90,"['hip hop', 'rap', 'slap house']",24940449
10,Taylor Swift,06HL4z0CvFAxyc27GXpf02,Is It Over Now? (Taylor's Version) (From The Vault),1Iq8oo9XkmmvCQiGOfORiz,93,100,['pop'],91476272
11,Taylor Swift,06HL4z0CvFAxyc27GXpf02,Now That We Don't Talk (Taylor's Version) (From The Vault),5KD6AEm19QnMbfWpfoOHMl,91,100,['pop'],91476272
12,Olivia Rodrigo,1McMsnEElThX1knmY4oliG,bad idea right?,3IX0yuEVvDbnqUwMBB3ouC,93,87,['pop'],29609037
13,Taylor Swift,06HL4z0CvFAxyc27GXpf02,"""Slut!"" (Taylor's Version) (From The Vault)",71BqAINEnezjQfxE4VuJfq,91,100,['pop'],91476272
14,Kenya Grace,7uMDnSZyUYNBPLhPMNuaM2,Strangers,5mjYQaktjmjcMKcUIcqz4s,98,76,['singer-songwriter pop'],337659
15,Taylor Swift,06HL4z0CvFAxyc27GXpf02,Say Don't Go (Taylor's Version) (From The Vault),4NioO5R9sHEZh4cGzMHyNt,90,100,['pop'],91476272
16,Doja Cat,5cj0lLjcoR7YOSnhnX0Po5,Agora Hills,7dJYggqjKo71KI9sLzqCs8,91,87,"['dance pop', 'pop']",27104305
17,Peso Pluma,12GqGscKJx3aE4t07u7eVZ,LADY GAGA,7mXuWTczZNxG5EDcjFEuJR,95,90,"['corridos tumbados', 'sad sierreno']",8745657
18,Billie Eilish,6qqNVTkY8uBg9cP3Jd7DAH,"What Was I Made For? [From The Motion Picture ""Barbie""]",6wf7Yu7cxBSPrRlWeSeK0Q,95,86,"['art pop', 'pop']",88370218
19,Luke Combs,718COspgdWOnwOFpJHRZHS,Fast Car,1Lo0QY9cvc8sUB2vnIOxDT,89,81,"['contemporary country', 'country']",9487592
20,Zach Bryan,40ZNYROS4zLfyyBSs2PGe2,Hey Driver (feat. The War and Treaty),4pCbJC43j3gSqG6Fen6upD,87,86,"['classic oklahoma country', 'modern country pop']",2496766
21,Travis Scott,0Y5tJX1MQlPlqiwlOH1tJY,MELTDOWN (feat. Drake),67nepsnrcZkowTxMWigSbb,90,90,"['hip hop', 'rap', 'slap house']",24940449
22,Morgan Wallen,4oUHIQIBe0LHzYfvXNW4QM,Thinkin’ Bout Me,0PAcdVzhPO4gq1Iym9ESnK,86,85,['contemporary country'],7537077
23,Taylor Swift,06HL4z0CvFAxyc27GXpf02,Suburban Legends (Taylor's Version) (From The Vault),6T0sEnqjmHISIKwFETeeiP,88,100,['pop'],91476272
24,Taylor Swift,06HL4z0CvFAxyc27GXpf02,Style (Taylor's Version),1hjRhYpWyqDpPahmSlUTlc,90,100,['pop'],91476272
25,Bad Bunny,4q3ewBCX7sLwd24euuV69X,PERRO NEGRO,7iQXYTyuG13aoeHxGG28Nh,97,96,"['reggaeton', 'trap latino', 'urbano latino']",76200614
26,Olivia Rodrigo,1McMsnEElThX1knmY4oliG,get him back!,2gyxAWHebV7xPYVxqoi86f,91,87,['pop'],29609037
27,Tyla,3SozjO3Lat463tQICI9LcE,Water,5aIVCx5tnk0ntmdiinnYvw,95,73,[],229967
28,Drake,3TVXtAsR1Inumwj472S9r4,Virginia Beach,3eP13S8D5m2cweMEg3ZDed,88,95,"['canadian hip hop', 'canadian pop', 'hip hop', 'pop rap', 'rap']",81476124
29,Taylor Swift,06HL4z0CvFAxyc27GXpf02,Blank Space (Taylor's Version),45wMBGri1PORPjM9PwFfrS,89,100,['pop'],91476272
